X Position (cm),Z Position (cm)
0.02179251546489952,-3.517495467336691
0.029426763304925004,-4.654648641385642
0.04367242920733911,-6.691294893030343
0.06289104080405634,-9.290472226090719
0.08515972630351774,-12.167535179627345
0.10849254736105758,-15.152887001531514
0.13131568499516885,-18.171462522598897
0.15309627668017162,-21.19802510930722
0.174570599091011,-24.226060677918586
0.19724051775063853,-27.254256452509882
0.22234129425086657,-30.28242576990552
0.24995612444431733,-33.310575412618675
0.27902673270961226,-36.33869657707638
0.3082024263117387,-39.36677814838215
0.3365409023702836,-42.39482607709596
0.36335166679826536,-45.42286640227452
0.3877269347746264,-48.450924512978524
0.40863002866880277,-51.47899669418107
0.4254192876043231,-54.507043898060246
0.4380669936806699,-57.53501785638474
0.44695819464305836,-60.562892151649784
0.45267614969316605,-63.59067045802024
0.45594919625610636,-66.6183796355364
0.45751020308250145,-69.64606644022072
0.4576787109340071,-72.67378868289906
0.4558118549400394,-75.70158589183065
0.45029970690095683,-78.72945252912714
0.4397784862752969,-81.75735145198522
0.42509992438984984,-84.7852640488992
0.41010762310756865,-87.81322543482366
0.39978608460390974,-90.84130231723798
0.39715305930096817,-93.86953620048818
0.40175284598541544,-96.89791587947947
0.41067503282715706,-99.92640011765423
0.4206220580206272,-102.95495237107686
0.4294670786003473,-105.9835523242392
0.4367455567302731,-109.01218792996185
0.4432448206733535,-112.0408469023339
0.4501974706514577,-115.06951301107216
0.45855269842381596,-118.09816458286316
0.46856780296693185,-121.12677754101655
0.47988626233968346,-124.15533667414536
0.49202578639343575,-127.18384662034785
0.504782636900832,-130.2123283688569
0.5182185776510754,-133.2408027498768
0.5324253031301612,-136.2692786528801
0.5474049488764167,-139.29775595299333
0.5631642493905189,-142.32623415016187
0.5798116323650454,-145.3547160595595
0.5974677580224732,-148.38320581140493
0.6161204475858758,-151.41170538170059
0.6357566869238709,-154.44021314969024
0.6567134072677934,-157.46872542736375
0.6798209528487615,-160.4972368072009
0.7060454360802485,-163.52573615518327
0.7358233252442343,-166.55420573646117
0.7686020469893908,-169.58263218898384
0.8030288817374684,-172.61101978551258
0.8376614357026637,-175.63938643973518
0.8716082218618627,-178.66774311056452
0.9046612685032804,-181.6960803957086
0.9370526138415765,-184.72437730075066
0.9690145035094152,-187.75242485575782
1.0000361703011007,-190.77915144187193
1.0255666409288648,-193.79932680541194
1.026812268071264,-196.79357233269474
0.9496085943249354,-199.7072266555599
0.6805380966320884,-202.42406698498812
0.050991865055720856,-204.76113609311378
-1.1001327211826157,-206.51314601316048
-2.828948758148157,-207.53325695109177
-5.036709293688956,-207.7901644070731
-7.51960884079197,-207.36225926753227
-10.073412000262678,-206.3970070090161
-12.570542122485499,-205.08910445325606
-14.978340289205843,-203.68795581803053
-17.337357050210226,-202.48991009311146
-19.720837955400082,-201.76807798350163
-22.187309880901495,-201.65996082707613
-24.743342532861252,-202.10100619111716
-27.331457238137574,-202.8543402758576
-29.84198532944211,-203.5909822981151
-32.14551402202055,-203.9691495210411
-34.152868279546304,-203.73528883627205
-35.884653060878186,-202.85274430406184
-37.48473656843856,-201.55668105241364
-39.125297977355146,-200.2371554352993
-40.86698262853963,-199.21664164115762
-42.62921552626851,-198.60028422218272
-44.32950373494636,-198.2917844508727
-46.03645695002999,-198.11471381445
-47.94326807713927,-197.92696093674775
-50.19664248947281,-197.6675384104779
-52.789674506991986,-197.34131489180825
-55.60946280365772,-196.97959075603237
-58.53954146663168,-196.6102179690152
-61.509820233256285,-196.24659168058056
-64.48912750058321,-195.8890402281003
-67.45851741048433,-195.53208815442204
-70.38319226358763,-195.17787024051893
-73.18150694194188,-194.85501269714382
-75.70919538034983,-194.63426399265947
-77.80713188328949,-194.61731785396725
-79.431394388311,-194.87700374826827
-80.76093042333203,-195.37668703543326
-82.12599309020511,-195.95423070324523
-83.76851453528064,-196.41618240898163
-85.66461842746016,-196.66139927187996
-87.59885069274806,-196.71345974328023
-89.41329558001796,-196.65222612978013
-91.17558720937947,-196.537086025779
-93.10719007931635,-196.38794711085683
-95.37674990467022,-196.20851925319116
-97.98599110891732,-196.0069740241847
-100.8230389609487,-195.79658303043897
-103.77046269580926,-195.58778375457638
-106.75800132291187,-195.38455527381544
-109.75689722218368,-195.18666780670915
-112.7586506606038,-194.9927385187464
-115.76146734483648,-194.80132105654076
-118.76487380795922,-194.61071725080316
-121.76862541608642,-194.41913726925304
-124.77240480529895,-194.2255100064255
-127.77577862934642,-194.02965634540527
-130.77751470781962,-193.83183272935082
-133.77220989372194,-193.63125305899277
-136.74031702369032,-193.42015513713207
-139.62973117391175,-193.16827087025467
-142.3411822091035,-192.8028594167723
-144.75215187078356,-192.21454723511266
-146.79964281807074,-191.31998485247922
-148.56560358578508,-190.1492205379821
-150.2550182437397,-188.856979172912
-152.053639885348,-187.61538274591135
-154.0129249656071,-186.49444633055344
-156.08958000276982,-185.45974248159845
-158.26648176009544,-184.46497980721287
-160.59141718630792,-183.5120195699853
-163.10949302975035,-182.62686758745085
-165.80204912953712,-181.81495734877103
-168.59547275231915,-181.05414674162685
-171.39301178658764,-180.31407760965547
-174.07551587011125,-179.5666629809432
-176.4846076544472,-178.77836112564546
-178.44025239101651,-177.89959026799997
-179.81380344675696,-176.86900741739785
-180.6161526499099,-175.63495698308128
-181.03850569524374,-174.18333214830503
-181.40797609641407,-172.55702196063987
-182.05276867121984,-170.84974119436043
-183.11695116469193,-169.16830800210684
-184.44061539955044,-167.59694174136553
-185.62326145452272,-166.19667789026394
-186.26236102194244,-165.00849280016064
-186.20836400197547,-164.01312890554615
-185.64638795284694,-163.08866841071563
-184.9527788448257,-162.05513027845166
-184.46104566633937,-160.79011501650604
-184.31016770075394,-159.28770623429372
-184.43505051142404,-157.5996519910162
-184.66793968768883,-155.74171465856128
-184.8820795525933,-153.6722537012902
-185.06995031884685,-151.34925761149486
-185.29654023451496,-148.78681434268958
-185.60450049670573,-146.0522380371513
-185.97918001343717,-143.22265231826023
-186.37918364128706,-140.35160755800928
-186.77338650655528,-137.46541975799633
-187.1511267512561,-134.57429836025545
-187.51474777875973,-131.68186789426727
-187.87032312650823,-128.78946127642212
-188.22287319589515,-125.89749765533358
-188.57523645752102,-123.00600817533545
-188.92826233348944,-120.11485968814097
-189.28190784601463,-117.22378746256958
-189.6362683751252,-114.33251687151018
-189.99191858211526,-111.44091819706695
-190.3497203888902,-108.54902250329661
-190.71041295305682,-105.65691433876309
-191.074204981242,-102.7646826611632
-191.44052214158057,-99.87245147137259
-191.80813712539847,-96.98034693706163
-192.17575491607312,-94.08835354974488
-192.54283844541152,-91.1962398670036
-192.91012588107947,-88.30367426349645
-193.2791557978227,-85.41040876653389
-193.65075954053324,-82.51632755155866
-194.02380532292565,-79.62137655436398
-194.3957039301716,-76.72554612877755
-194.76436307995394,-73.82898467797534
-195.1295431167482,-70.93205698481144
-195.49242743966374,-68.03517700808018
-195.8543050220199,-65.1385587353093
-196.2158368235328,-62.24218246105743
-196.57727270847144,-59.345972773414154
-196.93901811014595,-56.44992769753243
-197.30185953353006,-53.554085631534534
-197.6666601515042,-50.658492905531524
-198.03378149648623,-47.763272456050096
-198.4026296252432,-44.86863960502414
-198.77162602953882,-41.97471771189686
-199.1387475785262,-39.08136632106281
-199.50241224581552,-36.188347049804264
-199.8620878237272,-33.29570676649824
-200.21809435022794,-30.40382679758095
-200.57087531447615,-27.512941733920798
-200.92061795570345,-24.622681907344653
-201.26762714886172,-21.73223801066216
-201.61274128377093,-18.840889258378716
-201.95702130202687,-15.948237273357238
-202.3012535746092,-13.0540982253783
-202.64629230589978,-10.158458719604813
-202.99380617020105,-7.261769591465381
-203.34609165952818,-4.3658364289475085
-203.7045270328469,-1.4775433544700722
-204.0668631018522,1.3784923695556177
-204.42294113126346,4.1304018081519205
-204.74931762666856,6.6162589747715215
-205.00738373056942,8.56411661763242
-205.1521511071423,9.651745853385314
